Label,Type_Sequence,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Type_Sequence_In_Range,Dst_One_Exist,Dst_One_Count,Type_1_First_Occurrence_Time,Type_1_Last_Time,Type_1_Count,Type_2_First_Occurrence_Time,Type_2_Last_Time,Type_2_Count,Type_3_First_Occurrence_Time,Type_3_Last_Time,Type_3_Count,Type_4_First_Occurrence_Time,Type_4_Last_Time,Type_4_Count,Type_5_First_Occurrence_Time,Type_5_Last_Time,Type_5_Count,Type_6_First_Occurrence_Time,Type_6_Last_Time,Type_6_Count,Probe_Time,Assoc_Time,Gap_23_Time,Gap_34_Time,Gap_45_Time,Type_6_Time,Probe_Time_Ratio,Assoc_Time_Ratio,Gap_23_Time_Ratio,Gap_34_Time_Ratio,Gap_45_Time_Ratio,Type_6_Time_Ratio,First_Stage_Time_Diff_Ratio,A_Mean_IAT,A_IAT_StdDev,A_IAT_Q1,A_IAT_Median,A_IAT_Q3,A_IAT_IQR,A_IAT_P10,A_IAT_P90,A_IAT_P95,A_IAT_Skew_Ratio,A_CV,A_Skewness,A_Kurtosis,A_Retran_intervals,A_Burst_Rate,A_Burst_Duration,A_Silence_Count,A_Silence_Rate,A_Silence_Total_Duration,A_Silence_Max_Duration,A_Silence_Avg_Duration,Trans_1_1,Trans_1_2,Trans_1_3,Trans_1_4,Trans_1_5,Trans_1_6,Trans_2_1,Trans_2_2,Trans_2_3,Trans_2_4,Trans_2_5,Trans_2_6,Trans_3_1,Trans_3_2,Trans_3_3,Trans_3_4,Trans_3_5,Trans_3_6,Trans_4_1,Trans_4_2,Trans_4_3,Trans_4_4,Trans_4_5,Trans_4_6,Trans_5_1,Trans_5_2,Trans_5_3,Trans_5_4,Trans_5_5,Trans_5_6,Trans_6_1,Trans_6_2,Trans_6_3,Trans_6_4,Trans_6_5,Trans_6_6,excess,lack,Range_1,Range_2,Range_1_2,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5
HONOR-70_2,"1,2,2,2,3,3,4,5,6,6,6",0.0333118438720703,5.8335020542144775,"1,2,2,2,1,2,2,2",0,0,0.0,0.0,1,2.789497375488281e-05,0.0019779205322265,3,0.0039968490600585,0.0040249824523925,2,0.0068180561065673,0.0068180561065673,1,0.0126099586486816,0.0126099586486816,1,0.0231778621673584,0.0333118438720703,3,0.0019779205322265,0.0057919025421143,0.002018928527832,0.0027930736541748004,0.0057919025421143,0.0101339817047119,0.05937589464643388,0.1738691669052404,0.06060692814199737,0.0838462639564843,0.1738691669052404,0.30421557400515287,1.0,0.00333118438720703,0.0036240348979463865,0.0009700655937194629,0.0020093917846679497,0.005042195320129426,0.004072129726409962,2.810955047608827e-05,0.00837750434875488,0.009472703933715836,3.1691741813004652,1.087911828556837,0.9883767583602608,-0.4109617890207291,0.0024224281311035034,0.7272727272727273,0.004005908966064399,1,0.1,0.010567903518676798,0.010567903518676798,0.010567903518676798,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,"[(2, 2, 2, 3), (3, 3, 4)]",(),2,6,1,0,0,0,0,0,0
HONOR-70_2,"1,2,3,3,2,4,5,6,6,6,6",0.0428950786590576,5.764261960983276,"1,2,2,1,2,2,2",0,0,0.0,0.0,1,0.0015361309051513,0.0027830600738525,2,0.0015640258789062,0.0015690326690673,2,0.0057649612426757,0.0057649612426757,1,0.0119750499725341,0.0119750499725341,1,0.0295629501342773,0.0428950786590576,4,0.0027830600738525,0.0062100887298584,-0.0012190341949463001,0.0041959285736084,0.0062100887298584,0.013332128524780305,0.06488063807909202,0.1447739210182587,-0.028418975627379862,0.09781841425117424,0.1447739210182587,0.31080788149959787,1.0,0.00428950786590576,0.005240322441907092,0.001294553279876725,0.002457380294799801,0.0058443546295166016,0.004549801349639877,2.5606155395519957e-05,0.007745695114135745,0.012666797637939462,2.152013194916082,1.2216605274368837,1.750514816137388,2.2661976688037324,0.003334283828735351,0.6363636363636364,0.004715919494628902,1,0.1,0.0175879001617432,0.0175879001617432,0.0175879001617432,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(3, 3, 2, 4)]",(),2,5,1,0,0,0,0,0,0
HONOR-70_2,"1,2,2,2,3,3,4,5,6,6,6",0.0317299365997314,5.729249000549316,"1,2,2,1,2,2,2",0,0,0.0,0.0,1,2.694129943847656e-05,0.0012719631195068,3,0.0027837753295898,0.002810001373291,2,0.005760908126831,0.005760908126831,1,0.0125598907470703,0.0125598907470703,1,0.0216298103332519,0.0317299365997314,3,0.0012719631195068,0.0067989826202393,0.001511812210083,0.00295090675354,0.0067989826202393,0.010100126266479496,0.04008716233985691,0.21427659014915446,0.04764624112409345,0.09300071382950637,0.21427659014915446,0.31831536236240054,1.0,0.0031729936599731398,0.0033413746742817466,0.00032782554626463077,0.0022084712982177487,0.005836963653564476,0.005509138107299845,2.686977386474891e-05,0.007382488250732458,0.008226203918457027,2.342804706898467,1.0530669242843782,0.6667803874512583,-1.0594139233430773,0.002274274826049804,0.5454545454545454,0.002810001373291,1,0.1,0.0090699195861816,0.0090699195861816,0.0090699195861816,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,"[(2, 2, 2, 3), (3, 3, 4)]",(),2,5,1,0,0,0,0,0,0
HONOR-70_2,"1,2,2,2,3,3,3,3,4,5,6,6,6,6",0.047382116317749,5.735748052597046,"1,2,2,2,1,2,2",0,0,0.0,0.0,1,2.813339233398437e-05,0.0008180141448974,3,0.0051629543304443,0.0064761638641357,4,0.0090830326080322,0.0090830326080322,1,0.015916109085083,0.015916109085083,1,0.0269200801849365,0.047382116317749,4,0.0008180141448974,0.0068330764770508,0.0043449401855469,0.002606868743896501,0.0068330764770508,0.020462036132812503,0.017264196039951423,0.14421214179686564,0.09170000251591372,0.05501798877902772,0.14421214179686564,0.4318514604875842,1.0,0.003644778178288385,0.004353679335014208,2.813339233398437e-05,0.0022530555725098003,0.0050051212310791016,0.004976987838745117,2.4700164794879983e-05,0.010169792175292961,0.011883926391601537,3.513777777777705,1.1944977504937566,1.1310330993327442,0.0616234011107859,0.0028206408023834146,0.5714285714285714,0.0021312236785887995,1,0.07692307692307693,0.013203859329223602,0.013203859329223602,0.013203859329223602,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 2, 3), (3, 3, 3, 3, 4)]",(),2,5,1,0,0,0,0,0,0
HONOR-70_2,"1,2,3,3,4,5,6,6,6,6",0.0355260372161865,5.742671966552734,"1,2,2,2,1,2,2,2",0,0,0.0,0.0,1,0.0011050701141357,0.0011050701141357,1,0.0032539367675781,0.0032939910888671,2,0.005479097366333,0.005479097366333,1,0.0121738910675048,0.0121738910675048,1,0.0208189487457275,0.0355260372161865,4,0.0011050701141357,0.0066947937011717995,0.0021488666534424,0.0021851062774659,0.0066947937011717995,0.014707088470459002,0.031105921198331794,0.1884475225996074,0.06048709121048057,0.061507177515152577,0.1884475225996074,0.4139805512492709,1.0,0.003947337468465167,0.0029146468614290964,0.0021488666534424,0.0032279491424561033,0.006666183471679698,0.004517316818237298,0.0008920669555663599,0.00708484649658198,0.00786495208740234,1.194844523229141,0.738382994794309,0.272457461691237,-1.2113579397051963,0.0036867856979370004,0.5,0.005479097366333,1,0.1111111111111111,0.008645057678222701,0.008645057678222701,0.008645057678222701,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(3, 3, 4)]",(),2,6,1,0,0,0,0,0,0
HONOR-70_2,"1,2,2,3,3,4,6,6,6,6",0.0357179641723632,5.717315912246704,"1,2,2,2,1,2,2,2",0,0,0.0,0.0,1,8.106231689453125e-06,0.000864028930664,2,0.0031080245971679,0.0031149387359619,2,0.0054280757904052,0.0054280757904052,1,0.0,0.0,0,0.0219581127166748,0.0357179641723632,4,0.000864028930664,-0.0054280757904052,0.0022439956665038997,0.0023131370544432995,-0.0054280757904052,0.013759851455688397,0.024190318532559117,-0.1519704696552996,0.0628254078444984,0.06476116732971839,-0.1519704696552996,0.3852361626571957,1.0,0.003968662685818133,0.0051465097397157275,0.0008559226989745469,0.0023131370544432995,0.003634929656982401,0.002779006958007854,7.867813110362577e-06,0.008597183227539041,0.012563610076904317,2.7166769738199177,1.2967868894745294,1.7860215069071417,2.121309599217251,0.002924537658691389,0.5,0.0031149387359619,1,0.1111111111111111,0.0165300369262696,0.0165300369262696,0.0165300369262696,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4)]","(5,)",2,6,1,1,0,0,0,0,1
HONOR-70_2,"1,2,3,3,4,5,6,6,6,6",0.0317010879516601,4.539139032363892,"1,2,2,2",0,0,0.0,0.0,1,0.0017809867858886,0.0017809867858886,1,0.0042788982391357,0.0042910575866699,2,0.0068860054016113,0.0068860054016113,1,0.0135478973388671,0.0135478973388671,1,0.0170269012451171,0.0317010879516601,4,0.0017809867858886,0.0066618919372558,0.0024979114532471,0.0025949478149414,0.0066618919372558,0.014674186706543,0.05618062031827947,0.21014710748773954,0.07879576426702072,0.08185674317860468,0.21014710748773954,0.46289221142565085,1.0,0.003522343105740011,0.0025692985111026552,0.0024979114532471,0.0025949478149414,0.003597021102905301,0.0010991096496582014,0.0014272212982177203,0.00702972412109372,0.007765388488769559,1.7090040426313804,0.7294288017870053,0.8059805365609568,-0.17558884758528226,0.0036715865135193,0.6,0.0068671703338622,1,0.1111111111111111,0.0085010528564454,0.0085010528564454,0.0085010528564454,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(3, 3, 4)]",(),1,3,0,0,0,0,0,0,0
HONOR-70_2,"1,2,2,3,2,3,4,5,6,6,6,6",0.0397930145263671,5.72167181968689,"1,2,2,2,1",0,0,0.0,0.0,1,2.694129943847656e-05,0.0013079643249511,3,0.0013008117675781,0.0013139247894287,2,0.0046219825744628,0.0046219825744628,1,0.0108230113983154,0.0108230113983154,1,0.0254700183868408,0.0397930145263671,4,0.0013079643249511,0.0062010288238526,-7.1525573730000375e-06,0.0033080577850341003,0.0062010288238526,0.014322996139526298,0.03286919426736155,0.15583209509658436,-0.00017974404447948291,0.08313162057230324,0.15583209509658436,0.3599374490725198,1.0,0.0036175467751242817,0.0045967531640651055,2.741813659668836e-05,0.0012838840484619002,0.005736589431762698,0.0057091712951660096,7.1525573730000375e-06,0.0077669620513916016,0.0112069845199585,5.049582172702015,1.2706824402863963,1.3196714729561843,0.9124963018313066,0.0038922429084777554,0.5,0.0013139247894287,1,0.09090909090909091,0.0146470069885254,0.0146470069885254,0.0146470069885254,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 2, 3, 4)]",(),2,3,1,0,0,0,0,0,0
HONOR-70_2,"1,2,2,3,3,4,5,5,6,6,6,6",0.0578870773315429,5.726178169250488,"1,2,2,2,1,2,2,2",0,0,0.0,0.0,1,0.0012180805206298,0.0012359619140625,2,0.0047121047973632,0.0057029724121093,2,0.0099270343780517,0.0099270343780517,1,0.0176711082458496,0.018726110458374,2,0.0405211448669433,0.0578870773315429,4,0.0012359619140625,0.008799076080322299,0.0034761428833006997,0.0042240619659424,0.007744073867797898,0.017365932464599602,0.02135125784609304,0.15200415163347084,0.06005041269213527,0.07297072439414197,0.13377897494192753,0.2999967050528018,1.0,0.005262461575594809,0.006121843015579873,0.0011365413665771,0.0034761428833006997,0.007039904594421401,0.005903363227844301,0.0009908676147461007,0.007744073867797898,0.014769554138183597,1.2277777777778436,1.163304078830814,1.9077140617298463,2.9898755505430534,0.003238280614217134,0.75,0.006567955017089802,1,0.09090909090909091,0.021795034408569298,0.021795034408569298,0.021795034408569298,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,"[(2, 2, 3), (3, 3, 4), (5, 5, 5)]",(),2,6,1,0,0,0,0,0,0
HONOR-70_2,"2,3,4,5,6,6,6,6",0.0412268638610839,5.756701946258545,"1,2,2,2,1,2,2,2",0,0,0.0,0.0,0,0.0,0.0,1,0.0020020008087158,0.0020020008087158,1,0.0053749084472656,0.0053749084472656,1,0.0116569995880126,0.0116569995880126,1,0.0157258510589599,0.0412268638610839,4,0.0,0.006282091140747,0.0020020008087158,0.0033729076385498,0.006282091140747,0.025501012802124003,0.0,0.15237858406874796,0.048560589412322205,0.08181334505372494,0.15237858406874796,0.618553302721522,1.0,0.005889551980154843,0.005802627978677253,0.00269198417663575,0.004068851470947299,0.005594968795776301,0.0029029846191405513,0.00200743675231934,0.011202096939086885,0.014892101287841781,1.753134888081536,0.9852409823751476,1.7551056745564584,1.538272108704179,0.008500337600708001,0.625,0.0073859691619873,1,0.14285714285714285,0.0185821056365967,0.0185821056365967,0.0185821056365967,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,[],"(1,)",2,6,1,1,1,0,0,0,0
